,Headline,ID,URL,Roomtitle
0,Bonn ,120080,/blaulicht/nr,Generalzolldirektion
1,Karlsruhe ,14981,/blaulicht/nr,Der Generalbundesanwalt beim Bundesgerichtshof (GBA)
2,Potsdam ,73990,/blaulicht/nr,Bundespolizeipräsidium (Potsdam)
3,Wiesbaden ,7,/blaulicht/nr,Bundeskriminalamt
4,,140934,/blaulicht/nr,Kreisfeuerwehrverband Heilbronn
5,Aalen ,110969,/blaulicht/nr,Polizeipräsidium Aalen
6,Bad Säckingen ,140463,/blaulicht/nr,Feuerwehr Bad Säckingen
7,Baden-Württemberg ,139254,/blaulicht/nr,Landesfeuerwehrverband Baden-Württemberg e.V.
8,Böblingen ,164917,/blaulicht/nr,Feuerwehr Böblingen
9,Calw ,116896,/blaulicht/nr,Kreisfeuerwehrverband Calw e.V.
10,Eigeltingen ,139087,/blaulicht/nr,Freiwillige Feuerwehr Eigeltingen
11,,153641,/blaulicht/nr,Feuerwehren des Landkreises Ravensburg
12,Freiburg ,110970,/blaulicht/nr,Polizeipräsidium Freiburg
13,Gäufelden ,139748,/blaulicht/nr,Feuerwehr Gäufelden
14,Göppingen ,110981,/blaulicht/nr,Polizeipräsidium Einsatz
15,Heilbronn ,121248,/blaulicht/nr,Hauptzollamt Heilbronn
16,Heilbronn ,110971,/blaulicht/nr,Polizeipräsidium Heilbronn
17,Karlsruhe ,116093,/blaulicht/nr,Bundespolizeiinspektion Karlsruhe
18,Karlsruhe ,121249,/blaulicht/nr,Hauptzollamt Karlsruhe
19,Karlsruhe ,130685,/blaulicht/nr,Kreisfeuerwehrverband Landkreis Karlsruhe
20,Karlsruhe ,110972,/blaulicht/nr,Polizeipräsidium Karlsruhe
21,Konstanz ,116092,/blaulicht/nr,Bundespolizeiinspektion Konstanz
22,Konstanz ,139089,/blaulicht/nr,Feuerwehr Konstanz
23,Konstanz ,110973,/blaulicht/nr,Polizeipräsidium Konstanz
24,Ludwigsburg ,110974,/blaulicht/nr,Polizeipräsidium Ludwigsburg
25,Lörrach ,121255,/blaulicht/nr,Hauptzollamt Lörrach
26,Mannheim ,14915,/blaulicht/nr,Polizeipräsidium Mannheim
27,Offenburg ,75292,/blaulicht/nr,Bundespolizeiinspektion Offenburg
28,Offenburg ,128693,/blaulicht/nr,Feuerwehr Offenburg
29,Offenburg ,110975,/blaulicht/nr,Polizeipräsidium Offenburg
30,Pforzheim ,151867,/blaulicht/nr,Feuerwehr Pforzheim
31,Pforzheim ,137462,/blaulicht/nr,Polizeipräsidium Pforzheim
32,Ravensburg ,138081,/blaulicht/nr,Polizeipräsidium Ravensburg
33,Reichenau ,163367,/blaulicht/nr,Freiwillige Feuerwehr Reichenau
34,Reutlingen ,110976,/blaulicht/nr,Polizeipräsidium Reutlingen
35,Sigmaringen ,140932,/blaulicht/nr,Kreisfeuerwehrverband Sigmaringen
36,Singen ,121262,/blaulicht/nr,Hauptzollamt Singen
37,Stockach ,134581,/blaulicht/nr,Freiwillige Feuerwehr Stockach
38,Stuttgart ,74709,/blaulicht/nr,Bundespolizeidirektion Stuttgart
39,Stuttgart ,116095,/blaulicht/nr,Bundespolizeiinspektion Flughafen Stuttgart
40,Stuttgart ,116091,/blaulicht/nr,Bundespolizeiinspektion Stuttgart
41,Stuttgart ,161590,/blaulicht/nr,Feuerwehr Stuttgart
42,Stuttgart ,121263,/blaulicht/nr,Hauptzollamt Stuttgart
43,Stuttgart ,110980,/blaulicht/nr,Landeskriminalamt Baden-Württemberg
44,Stuttgart ,110977,/blaulicht/nr,Polizeipräsidium Stuttgart
45,Stuttgart ,50366,/blaulicht/nr,Zollfahndungsamt Stuttgart
46,,57182,/blaulicht/nr,THW Landesverband Baden-Württemberg
47,Ueberlingen ,127207,/blaulicht/nr,Kreisfeuerwehrverband Bodenseekreis e. V.
48,Ulm ,121264,/blaulicht/nr,Hauptzollamt Ulm
49,Ulm ,110979,/blaulicht/nr,Polizeipräsidium Ulm
50,Villingen-Schwenningen ,110984,/blaulicht/nr,Hochschule für Polizei Baden-Württemberg
51,Walldorf ,134197,/blaulicht/nr,Freiwillige Feuerwehr Walldorf
52,Weil am Rhein ,116094,/blaulicht/nr,Bundespolizeiinspektion Weil am Rhein
53,Weil der Stadt ,140948,/blaulicht/nr,Freiwillige Feuerwehr Weil der Stadt
54,Augsburg ,121240,/blaulicht/nr,Hauptzollamt Augsburg
55,Bayern ,102101,/blaulicht/nr,THW Landesverband Bayern
56,Landshut ,121254,/blaulicht/nr,Hauptzollamt Landshut
57,München ,64017,/blaulicht/nr,Bundespolizeidirektion München
58,München ,131419,/blaulicht/nr,Feuerwehr München
59,München ,121256,/blaulicht/nr,Hauptzollamt München
60,München ,134118,/blaulicht/nr,DPolG Bayern
61,München ,116259,/blaulicht/nr,Zollfahndungsamt München
62,München G7 ,117054,/blaulicht/nr,Bundespolizeidirektion München G7-Einsatz
63,Nürnberg ,121257,/blaulicht/nr,Hauptzollamt Nürnberg
64,Nürnberg/Fürth ,6013,/blaulicht/nr,Polizeipräsidium Mittelfranken
65,Regensburg ,121258,/blaulicht/nr,Hauptzollamt Regensburg
66,Rosenheim ,121259,/blaulicht/nr,Hauptzollamt Rosenheim
67,Schweinfurt ,121261,/blaulicht/nr,Hauptzollamt Schweinfurt
68,Berlin ,72365,/blaulicht/nr,Bund Deutscher Kriminalbeamter (BDK)
69,Berlin ,70238,/blaulicht/nr,Bundespolizeidirektion Berlin
70,Berlin ,121222,/blaulicht/nr,Hauptzollamt Berlin
71,Berlin ,129178,/blaulicht/nr,"THW Landesverband Berlin, Brandenburg, Sachsen-Anhalt"
72,Berlin-Brandenburg ,116255,/blaulicht/nr,Zollfahndungsamt Berlin-Brandenburg
73,Frankfurt Oder ,121227,/blaulicht/nr,Hauptzollamt Frankfurt (Oder)
74,Potsdam ,121237,/blaulicht/nr,Hauptzollamt Potsdam
75,Bremen ,70255,/blaulicht/nr,Bundespolizeiinspektion Bremen
76,Bremen ,130368,/blaulicht/nr,Feuerwehr Bremen
77,Bremen ,121225,/blaulicht/nr,Hauptzollamt Bremen
78,Bremen ,35235,/blaulicht/nr,Polizei Bremen
79,Bremerhaven ,133092,/blaulicht/nr,Feuerwehr Bremerhaven
80,Bremerhaven ,134196,/blaulicht/nr,Polizei Bremerhaven
81,Hamburg ,70254,/blaulicht/nr,Bundespolizeiinspektion Hamburg
82,Hamburg ,82522,/blaulicht/nr,Feuerwehr Hamburg
83,Hamburg ,6337,/blaulicht/nr,Polizei Hamburg
84,Hamburg ,11539,/blaulicht/nr,Staatsanwaltschaft Hamburg
85,Hamburg ,50367,/blaulicht/nr,Zollfahndungsamt Hamburg
86,Hamburg Flughafen ,70277,/blaulicht/nr,Bundespolizeiinspektion Flughafen Hamburg
87,,121230,/blaulicht/nr,Hauptzollamt Hamburg
88,A49 ,148303,/blaulicht/nr,Polizei Presse A 49
89,Darmstadt ,121241,/blaulicht/nr,Hauptzollamt Darmstadt
90,"Darmstadt, Darmstadt-D...",4969,/blaulicht/nr,Polizeipräsidium Südhessen
91,Eschwege ,44151,/blaulicht/nr,Polizei Eschwege
92,Frankfurt ,74262,/blaulicht/nr,Bundespolizeidirektion Flughafen Frankfurt am Main
93,Frankfurt ,116052,/blaulicht/nr,Feuerwehr Frankfurt am Main
94,Frankfurt ,4970,/blaulicht/nr,Polizeipräsidium Frankfurt am Main
95,Frankfurt ,116258,/blaulicht/nr,Zollfahndungsamt Frankfurt am Main
96,Frankfurt am Main ,121246,/blaulicht/nr,Hauptzollamt Frankfurt am Main
97,Frankfurt/Main ,63987,/blaulicht/nr,Bundespolizeiinspektion Frankfurt/Main
98,Fulda ,43558,/blaulicht/nr,Polizeipräsidium Osthessen
99,Gießen ,121247,/blaulicht/nr,Hauptzollamt Gießen
100,Gießen ,43559,/blaulicht/nr,Polizeipräsidium Mittelhessen - Pressestelle Gießen
101,Hersfeld-Rotenburg ,51097,/blaulicht/nr,"Polizei Hersfeld-Rotenburg (Bad Hersfeld, Rotenburg)"
102,Hochtaunus ,50152,/blaulicht/nr,PD Hochtaunus - Polizeipräsidium Westhessen
103,Homberg ,44149,/blaulicht/nr,Polizei Homberg
104,Kassel ,63990,/blaulicht/nr,Bundespolizeiinspektion Kassel
105,Kassel ,44143,/blaulicht/nr,Polizeipräsidium Nordhessen - Kassel
106,Korbach ,44150,/blaulicht/nr,Polizei Korbach
107,Lahn-Dill ,56920,/blaulicht/nr,Polizeipräsidium Mittelhessen - Pressestelle Lahn - Dill
108,Limburg-Weilburg ,50153,/blaulicht/nr,PD Limburg-Weilburg - Polizeipräsidium Westhessen
109,Main-Taunus ,50154,/blaulicht/nr,PD Main-Taunus - Polizeipräsidium Westhessen
110,Marburg-Biedenkopf ,43648,/blaulicht/nr,Polizeipräsidium Mittelhessen - Pressestelle Marburg-Biedenkopf
111,,17277,/blaulicht/nr,Polizeipräsidium Mittelhessen - Führungs- und Lagedienst
112,Offenbach ,43561,/blaulicht/nr,Polizeipräsidium Südosthessen - Offenbach
113,Rheingau-Taunus ,47764,/blaulicht/nr,PD Rheingau-Taunus - Polizeipräsidium Westhessen
114,Rheingau-Taunus-Kreis ,164802,/blaulicht/nr,"Feuerwehr, Katastrophenschutz und Rettungsdienst Rheingau-Taunus-Kreis"
115,Vogelsberg ,51096,/blaulicht/nr,"Polizei Vogelsberg (Alsfeld, Lauterbach)"
116,Wetterau-Friedberg ,43647,/blaulicht/nr,Polizeipräsidium Mittelhessen - Pressestelle Wetterau
117,Wiesbaden ,43563,/blaulicht/nr,Hessisches Landeskriminalamt
118,Wiesbaden ,62288,/blaulicht/nr,PASt (KvD) - Polizeipräsidium Westhessen
119,Wiesbaden ,50177,/blaulicht/nr,Wiesbaden (PvD) - Polizeipräsidium Westhessen
120,Wiesbaden ,11815,/blaulicht/nr,Wiesbaden (KvD) - Polizeipräsidium Westhessen
121,Wiesbaden ,43562,/blaulicht/nr,Wiesbaden - Polizeipräsidium Westhessen
122,Wiesbaden ,43615,/blaulicht/nr,Hessisches Bereitschaftspolizeipräsidium
123,Anklam ,108768,/blaulicht/nr,Polizeiinspektion Anklam
124,Dummerstorf ,108749,/blaulicht/nr,Landeswasserschutzpolizeiamt Mecklenburg-Vorpommern
125,Güstrow ,108766,/blaulicht/nr,Polizeiinspektion Güstrow
126,Leezen ,108748,/blaulicht/nr,Landeskriminalamt Mecklenburg-Vorpommern
127,Ludwigslust ,108763,/blaulicht/nr,Polizeiinspektion Ludwigslust
128,Neubrandenburg ,108770,/blaulicht/nr,Polizeiinspektion Neubrandenburg
129,Neubrandenburg ,108747,/blaulicht/nr,Polizeipräsidium Neubrandenburg
