List-ID,image_score,n_ratings,Strassenname,Name
1,2.75,12,Germaniaplatz_60385,Germaniaplatz_60385.jpeg
2,2.3333333333333335,9,Usinger_Strasse_60389,Usinger_Strasse_60389.jpeg
3,2.8,10,Langenselbolder_Strasse_60386,Langenselbolder_Strasse_60386.jpeg
4,2.9444444444444446,18,Vogelstrasse_60528,Vogelstrasse_60528.jpeg
5,3.125,16,Bleichstrasse_60313,Bleichstrasse_60313.jpeg
6,2.0714285714285716,14,Gutleuthofweg_60327,Gutleuthofweg_60327.jpeg
7,1.8125,16,Breitenbachbruecke_60487,Breitenbachbruecke_60487.jpeg
8,2.6666666666666665,9,Gelbehirschstrasse_60313,Gelbehirschstrasse_60313.jpeg
9,3.3333333333333335,15,Salvador-Allende-Strasse_60487,Salvador-Allende-Strasse_60487.jpeg
10,2.5625,16,Unter_den_Birken_60596,Unter_den_Birken_60596.jpeg
11,3.4444444444444446,18,Melchiorstrasse_65929,Melchiorstrasse_65929.jpeg
12,2.823529411764706,17,An_den_Postwiesen_60488,An_den_Postwiesen_60488.jpeg
13,1.4,20,Kruppstrasse_60388,Kruppstrasse_60388.jpeg
14,1.625,16,Johanna-Spyri-Weg_60438,Johanna-Spyri-Weg_60438.jpeg
15,2.238095238095238,21,Apostelstrasse_60528,Apostelstrasse_60528.jpeg
16,3.230769230769231,13,Rheinstrasse_60325,Rheinstrasse_60325.jpeg
17,2.9473684210526314,19,Heckerstrasse_60529,Heckerstrasse_60529.jpeg
18,3.076923076923077,13,Malssstrasse_60320,Malssstrasse_60320.jpeg
19,2.411764705882353,17,Plessengasse_60386,Plessengasse_60386.jpeg
20,3.2222222222222223,9,Daeumling_65936,Daeumling_65936.jpeg
21,3.5,14,Josef-Fenzl-Strasse_65929,Josef-Fenzl-Strasse_65929.jpeg
22,3.142857142857143,14,Buchwaldstrasse_60385,Buchwaldstrasse_60385.jpeg
23,2.1,20,Dunantring_65936,Dunantring_65936.jpeg
24,2.6,15,Myliusstrasse_60323,Myliusstrasse_60323.jpeg
25,2.75,20,Turiner_Strasse_60598,Turiner_Strasse_60598.jpeg
26,1.7692307692307692,13,Maybachbruecke_60439,Maybachbruecke_60439.jpeg
27,2.6923076923076925,13,In_den_Waldgaerten_60488,In_den_Waldgaerten_60488.jpeg
28,3.2857142857142856,14,Rhoenstrasse_60316,Rhoenstrasse_60316.jpeg
29,3.2083333333333335,24,Ditmarstrasse_60487,Ditmarstrasse_60487.jpeg
30,2.7333333333333334,15,Elsterstrasse_65933,Elsterstrasse_65933.jpeg
31,2.125,16,Gisèle-Freund-Platz_60323,Gisèle-Freund-Platz_60323.jpeg
32,1.8,10,Moerfelder_Landstrasse_60598,Moerfelder_Landstrasse_60598.jpeg
33,2.6666666666666665,15,Oberwiesenstrasse_60435,Oberwiesenstrasse_60435.jpeg
34,3.090909090909091,11,Mauritiusstrasse_60529,Mauritiusstrasse_60529.jpeg
35,1.5333333333333334,15,Am_Steinernen_Stock_60320,Am_Steinernen_Stock_60320.jpeg
36,3.3125,16,Rabenkopfweg_65931,Rabenkopfweg_65931.jpeg
37,1.8181818181818181,11,Blauenstrasse_60528,Blauenstrasse_60528.jpeg
38,3.2,15,Schellingstrasse_60316,Schellingstrasse_60316.jpeg
39,2.888888888888889,9,Ohmstrasse_60486,Ohmstrasse_60486.jpeg
40,2.0,13,Donnersbergstrasse_60528,Donnersbergstrasse_60528.jpeg
41,3.090909090909091,11,Kreutzerstrasse_60318,Kreutzerstrasse_60318.jpeg
42,1.2857142857142858,14,Rossittener_Strasse_60487,Rossittener_Strasse_60487.jpeg
43,2.1875,16,Rostocker_Strasse_60323,Rostocker_Strasse_60323.jpeg
44,2.230769230769231,13,Legienstrasse_65929,Legienstrasse_65929.jpeg
45,2.5294117647058822,17,In_der_Beginenklause_60599,In_der_Beginenklause_60599.jpeg
46,3.8333333333333335,18,Guenthersburgallee_60389,Guenthersburgallee_60389.jpeg
47,2.3076923076923075,13,Jugenheimer_Strasse_60528,Jugenheimer_Strasse_60528.jpeg
48,2.6666666666666665,15,Anzengruberstrasse_60320,Anzengruberstrasse_60320.jpeg
49,2.5,16,Salmuensterer_Strasse_60386,Salmuensterer_Strasse_60386.jpeg
50,3.0,15,Bachstelzenweg_65929,Bachstelzenweg_65929.jpeg
51,3.3333333333333335,21,Neue_Schlesingergasse_60311,Neue_Schlesingergasse_60311.jpeg
52,1.6666666666666667,9,Friedberger_Anlage_60314,Friedberger_Anlage_60314.jpeg
53,3.0,11,Sandaeckerstrasse_65933,Sandaeckerstrasse_65933.jpeg
