List-ID,image_score,n_ratings,Strassenname,Name
1,3.8947368421052633,19,Germaniaplatz_60385,Germaniaplatz_60385.jpeg
2,2.111111111111111,9,Usinger_Strasse_60389,Usinger_Strasse_60389.jpeg
3,3.7,10,Langenselbolder_Strasse_60386,Langenselbolder_Strasse_60386.jpeg
4,3.5789473684210527,19,Vogelstrasse_60528,Vogelstrasse_60528.jpeg
5,3.3,10,Bleichstrasse_60313,Bleichstrasse_60313.jpeg
6,3.0,12,Gutleuthofweg_60327,Gutleuthofweg_60327.jpeg
7,2.176470588235294,17,Breitenbachbruecke_60487,Breitenbachbruecke_60487.jpeg
8,3.2222222222222223,18,Gelbehirschstrasse_60313,Gelbehirschstrasse_60313.jpeg
9,3.210526315789474,19,Salvador-Allende-Strasse_60487,Salvador-Allende-Strasse_60487.jpeg
10,2.75,20,Unter_den_Birken_60596,Unter_den_Birken_60596.jpeg
11,4.2,5,Melchiorstrasse_65929,Melchiorstrasse_65929.jpeg
12,3.1818181818181817,11,An_den_Postwiesen_60488,An_den_Postwiesen_60488.jpeg
13,1.7142857142857142,14,Kruppstrasse_60388,Kruppstrasse_60388.jpeg
14,2.0,11,Johanna-Spyri-Weg_60438,Johanna-Spyri-Weg_60438.jpeg
15,2.7333333333333334,15,Apostelstrasse_60528,Apostelstrasse_60528.jpeg
16,3.411764705882353,17,Rheinstrasse_60325,Rheinstrasse_60325.jpeg
17,3.5,14,Heckerstrasse_60529,Heckerstrasse_60529.jpeg
18,3.5833333333333335,12,Malssstrasse_60320,Malssstrasse_60320.jpeg
19,3.3,10,Plessengasse_60386,Plessengasse_60386.jpeg
20,3.75,8,Daeumling_65936,Daeumling_65936.jpeg
21,3.4761904761904763,21,Josef-Fenzl-Strasse_65929,Josef-Fenzl-Strasse_65929.jpeg
22,3.7333333333333334,15,Buchwaldstrasse_60385,Buchwaldstrasse_60385.jpeg
23,2.9285714285714284,14,Dunantring_65936,Dunantring_65936.jpeg
24,3.0833333333333335,12,Myliusstrasse_60323,Myliusstrasse_60323.jpeg
25,3.3333333333333335,15,Turiner_Strasse_60598,Turiner_Strasse_60598.jpeg
26,2.3333333333333335,9,Maybachbruecke_60439,Maybachbruecke_60439.jpeg
27,3.5,18,In_den_Waldgaerten_60488,In_den_Waldgaerten_60488.jpeg
28,3.8181818181818183,11,Rhoenstrasse_60316,Rhoenstrasse_60316.jpeg
29,3.7333333333333334,15,Ditmarstrasse_60487,Ditmarstrasse_60487.jpeg
30,3.6,15,Elsterstrasse_65933,Elsterstrasse_65933.jpeg
31,1.5,10,Gisèle-Freund-Platz_60323,Gisèle-Freund-Platz_60323.jpeg
32,3.3846153846153846,13,Moerfelder_Landstrasse_60598,Moerfelder_Landstrasse_60598.jpeg
33,3.1818181818181817,11,Oberwiesenstrasse_60435,Oberwiesenstrasse_60435.jpeg
34,3.75,24,Mauritiusstrasse_60529,Mauritiusstrasse_60529.jpeg
