List-ID,image_score,n_ratings,Strassenname,Name
1,4.666666666666667,3,Germaniaplatz_60385,Germaniaplatz_60385.jpeg
2,3.6363636363636362,11,Usinger_Strasse_60389,Usinger_Strasse_60389.jpeg
3,4.142857142857143,7,Langenselbolder_Strasse_60386,Langenselbolder_Strasse_60386.jpeg
4,3.3333333333333335,3,Vogelstrasse_60528,Vogelstrasse_60528.jpeg
5,4.0,9,Bleichstrasse_60313,Bleichstrasse_60313.jpeg
6,3.4,5,Gutleuthofweg_60327,Gutleuthofweg_60327.jpeg
7,2.5555555555555554,9,Breitenbachbruecke_60487,Breitenbachbruecke_60487.jpeg
8,4.0,7,Gelbehirschstrasse_60313,Gelbehirschstrasse_60313.jpeg
9,4.0,7,Salvador-Allende-Strasse_60487,Salvador-Allende-Strasse_60487.jpeg
10,3.5,10,Unter_den_Birken_60596,Unter_den_Birken_60596.jpeg
11,4.0,12,Melchiorstrasse_65929,Melchiorstrasse_65929.jpeg
12,4.2,5,An_den_Postwiesen_60488,An_den_Postwiesen_60488.jpeg
13,3.5,4,Kruppstrasse_60388,Kruppstrasse_60388.jpeg
14,3.3,10,Johanna-Spyri-Weg_60438,Johanna-Spyri-Weg_60438.jpeg
15,3.4444444444444446,18,Apostelstrasse_60528,Apostelstrasse_60528.jpeg
16,4.0,10,Rheinstrasse_60325,Rheinstrasse_60325.jpeg
17,4.75,4,Heckerstrasse_60529,Heckerstrasse_60529.jpeg
18,3.4444444444444446,9,Malssstrasse_60320,Malssstrasse_60320.jpeg
19,3.7142857142857144,7,Plessengasse_60386,Plessengasse_60386.jpeg
20,4.111111111111111,9,Daeumling_65936,Daeumling_65936.jpeg
21,4.714285714285714,7,Josef-Fenzl-Strasse_65929,Josef-Fenzl-Strasse_65929.jpeg
22,3.8,10,Buchwaldstrasse_60385,Buchwaldstrasse_60385.jpeg
23,3.4545454545454546,11,Dunantring_65936,Dunantring_65936.jpeg
24,4.5,8,Myliusstrasse_60323,Myliusstrasse_60323.jpeg
25,3.8461538461538463,13,Turiner_Strasse_60598,Turiner_Strasse_60598.jpeg
26,2.642857142857143,14,Maybachbruecke_60439,Maybachbruecke_60439.jpeg
27,4.3,10,In_den_Waldgaerten_60488,In_den_Waldgaerten_60488.jpeg
28,4.142857142857143,14,Rhoenstrasse_60316,Rhoenstrasse_60316.jpeg
29,4.0,4,Ditmarstrasse_60487,Ditmarstrasse_60487.jpeg
30,3.8,15,Elsterstrasse_65933,Elsterstrasse_65933.jpeg
31,2.6,5,Gisèle-Freund-Platz_60323,Gisèle-Freund-Platz_60323.jpeg
32,4.125,8,Moerfelder_Landstrasse_60598,Moerfelder_Landstrasse_60598.jpeg
33,4.6,5,Oberwiesenstrasse_60435,Oberwiesenstrasse_60435.jpeg
34,4.285714285714286,7,Mauritiusstrasse_60529,Mauritiusstrasse_60529.jpeg
35,3.5384615384615383,13,Am_Steinernen_Stock_60320,Am_Steinernen_Stock_60320.jpeg
36,4.384615384615385,13,Rabenkopfweg_65931,Rabenkopfweg_65931.jpeg
37,3.3333333333333335,12,Blauenstrasse_60528,Blauenstrasse_60528.jpeg
38,4.25,8,Schellingstrasse_60316,Schellingstrasse_60316.jpeg
39,4.125,8,Ohmstrasse_60486,Ohmstrasse_60486.jpeg
40,4.0,9,Donnersbergstrasse_60528,Donnersbergstrasse_60528.jpeg
41,3.6666666666666665,6,Kreutzerstrasse_60318,Kreutzerstrasse_60318.jpeg
42,3.0,9,Rossittener_Strasse_60487,Rossittener_Strasse_60487.jpeg
43,3.857142857142857,7,Rostocker_Strasse_60323,Rostocker_Strasse_60323.jpeg
44,3.5714285714285716,7,Legienstrasse_65929,Legienstrasse_65929.jpeg
45,3.5833333333333335,12,In_der_Beginenklause_60599,In_der_Beginenklause_60599.jpeg
46,4.5,8,Guenthersburgallee_60389,Guenthersburgallee_60389.jpeg
47,3.5,6,Jugenheimer_Strasse_60528,Jugenheimer_Strasse_60528.jpeg
48,4.285714285714286,7,Anzengruberstrasse_60320,Anzengruberstrasse_60320.jpeg
49,3.7,10,Salmuensterer_Strasse_60386,Salmuensterer_Strasse_60386.jpeg
50,4.1,10,Bachstelzenweg_65929,Bachstelzenweg_65929.jpeg
51,4.285714285714286,7,Neue_Schlesingergasse_60311,Neue_Schlesingergasse_60311.jpeg
52,3.142857142857143,7,Friedberger_Anlage_60314,Friedberger_Anlage_60314.jpeg
53,4.125,8,Sandaeckerstrasse_65933,Sandaeckerstrasse_65933.jpeg
54,3.2142857142857144,14,Rhonestrasse_60528,Rhonestrasse_60528.jpeg
55,4.0,8,Kleine_Nelkenstrasse_60488,Kleine_Nelkenstrasse_60488.jpeg
56,2.142857142857143,7,Chlodwig-Poth-Anlage_65936,Chlodwig-Poth-Anlage_65936.jpeg
57,4.0,5,Kurmainzer_Strasse_65929,Kurmainzer_Strasse_65929.jpeg
58,4.25,4,Neue_Mainzer_Strasse_60313,Neue_Mainzer_Strasse_60313.jpeg
59,4.111111111111111,9,Hermesweg_60316,Hermesweg_60316.jpeg
60,5.0,3,Hildburghaeuser_Weg_65931,Hildburghaeuser_Weg_65931.jpeg
61,3.5625,16,Zum_Eiskeller_60529,Zum_Eiskeller_60529.jpeg
62,4.111111111111111,9,Hesselbergweg_65931,Hesselbergweg_65931.jpeg
63,4.375,8,Preungesheimer_Strasse_60389,Preungesheimer_Strasse_60389.jpeg
64,4.3,10,Mainzer_Landstrasse_60325,Mainzer_Landstrasse_60325.jpeg
65,4.2,10,Heylstrasse_60431,Heylstrasse_60431.jpeg
66,4.375,8,Hugo-Wolf-Strasse_60529,Hugo-Wolf-Strasse_60529.jpeg
67,4.1,10,Krummauer_Strasse_60388,Krummauer_Strasse_60388.jpeg
68,3.75,12,Walter-Kolb-Strasse_60594,Walter-Kolb-Strasse_60594.jpeg
69,4.6,5,Hostatostrasse_65929,Hostatostrasse_65929.jpeg
70,3.7,10,Stiftstrasse_60313,Stiftstrasse_60313.jpeg
71,3.8333333333333335,6,Selma-Lagerloef-Strasse_60431,Selma-Lagerloef-Strasse_60431.jpeg
72,3.875,8,Bruderhofstrasse_60388,Bruderhofstrasse_60388.jpeg
73,3.4615384615384617,13,Berner_Strasse_60437,Berner_Strasse_60437.jpeg
74,2.1666666666666665,12,August-Laubenheimer-Strasse_65929,August-Laubenheimer-Strasse_65929.jpeg
75,4.166666666666667,6,Neuhofstrasse_60318,Neuhofstrasse_60318.jpeg
76,3.909090909090909,11,Launitzstrasse_60594,Launitzstrasse_60594.jpeg
77,2.888888888888889,9,Wallfahrtsweg_60389,Wallfahrtsweg_60389.jpeg
78,4.5,8,Neugasse_60437,Neugasse_60437.jpeg
79,4.0,10,Dottenfeldstrasse_65936,Dottenfeldstrasse_65936.jpeg
80,4.384615384615385,13,Rangenbergstrasse_60388,Rangenbergstrasse_60388.jpeg
81,4.066666666666666,15,Golub-Lebedenko-Platz_60326,Golub-Lebedenko-Platz_60326.jpeg
82,3.5714285714285716,7,Schichaustrasse_60314,Schichaustrasse_60314.jpeg
83,3.55,20,Rotlintstrasse_60389,Rotlintstrasse_60389.jpeg
84,4.111111111111111,9,Hanauer_Landstrasse_60314,Hanauer_Landstrasse_60314.jpeg
85,4.125,8,Biebergasse_60313,Biebergasse_60313.jpeg
86,4.125,8,Jahnstrasse_60318,Jahnstrasse_60318.jpeg
87,3.6,10,Brueningstrasse_65929,Brueningstrasse_65929.jpeg
88,3.2222222222222223,9,Roemerstadtsteg_60439,Roemerstadtsteg_60439.jpeg
89,3.8,5,Radilostrasse_60489,Radilostrasse_60489.jpeg
90,4.444444444444445,9,Am_Buchbaum_60437,Am_Buchbaum_60437.jpeg
91,2.875,8,Am_Riederbruch_60386,Am_Riederbruch_60386.jpeg
92,4.0,8,Eysseneckstrasse_60322,Eysseneckstrasse_60322.jpeg
93,2.7142857142857144,7,Erlenbacher_Stadtweg_60437,Erlenbacher_Stadtweg_60437.jpeg
94,4.222222222222222,9,Tarnowitzer_Strasse_65933,Tarnowitzer_Strasse_65933.jpeg
95,4.25,8,Propst-Goebels-Weg_60389,Propst-Goebels-Weg_60389.jpeg
96,3.6,15,Wittelsbacherallee_60385,Wittelsbacherallee_60385.jpeg
97,4.375,8,Soemmerringstrasse_60322,Soemmerringstrasse_60322.jpeg
98,4.0,10,Ludwigstrasse_60327,Ludwigstrasse_60327.jpeg
99,3.3333333333333335,6,Schalkwiesenweg_60488,Schalkwiesenweg_60488.jpeg
100,3.857142857142857,7,Aussiger_Strasse_60598,Aussiger_Strasse_60598.jpeg
101,3.875,8,Polizeimeister-Kaspar-Strasse_60320,Polizeimeister-Kaspar-Strasse_60320.jpeg
102,3.1538461538461537,13,Schwarzwaldstrasse_60528,Schwarzwaldstrasse_60528.jpeg
103,4.1,10,Hoechster_Schlossplatz_65929,Hoechster_Schlossplatz_65929.jpeg
104,3.8,10,Am_Lohwald_60488,Am_Lohwald_60488.jpeg
105,2.4166666666666665,12,Jakob-Quirin-Weg_60437,Jakob-Quirin-Weg_60437.jpeg
106,3.888888888888889,9,Wirschelweg_60437,Wirschelweg_60437.jpeg
