List-ID,image_score,n_ratings,Strassenname,Name
1,2.2857142857142856,7,Germaniaplatz_60385,Germaniaplatz_60385.jpeg
2,2.0,10,Usinger_Strasse_60389,Usinger_Strasse_60389.jpeg
3,2.1666666666666665,6,Langenselbolder_Strasse_60386,Langenselbolder_Strasse_60386.jpeg
4,2.0,6,Vogelstrasse_60528,Vogelstrasse_60528.jpeg
5,2.25,8,Bleichstrasse_60313,Bleichstrasse_60313.jpeg
6,2.0,6,Gutleuthofweg_60327,Gutleuthofweg_60327.jpeg
7,1.25,4,Breitenbachbruecke_60487,Breitenbachbruecke_60487.jpeg
8,2.4285714285714284,7,Gelbehirschstrasse_60313,Gelbehirschstrasse_60313.jpeg
9,1.7142857142857142,7,Salvador-Allende-Strasse_60487,Salvador-Allende-Strasse_60487.jpeg
10,2.0,3,Unter_den_Birken_60596,Unter_den_Birken_60596.jpeg
11,1.5,2,Melchiorstrasse_65929,Melchiorstrasse_65929.jpeg
12,2.0,5,An_den_Postwiesen_60488,An_den_Postwiesen_60488.jpeg
13,1.25,4,Kruppstrasse_60388,Kruppstrasse_60388.jpeg
14,2.7777777777777777,9,Johanna-Spyri-Weg_60438,Johanna-Spyri-Weg_60438.jpeg
15,1.625,8,Apostelstrasse_60528,Apostelstrasse_60528.jpeg
16,2.1666666666666665,6,Rheinstrasse_60325,Rheinstrasse_60325.jpeg
17,2.0,6,Heckerstrasse_60529,Heckerstrasse_60529.jpeg
18,2.25,8,Malssstrasse_60320,Malssstrasse_60320.jpeg
19,2.125,8,Plessengasse_60386,Plessengasse_60386.jpeg
20,2.2,5,Daeumling_65936,Daeumling_65936.jpeg
21,2.7142857142857144,7,Josef-Fenzl-Strasse_65929,Josef-Fenzl-Strasse_65929.jpeg
22,2.1,10,Buchwaldstrasse_60385,Buchwaldstrasse_60385.jpeg
23,1.9,10,Dunantring_65936,Dunantring_65936.jpeg
24,2.625,8,Myliusstrasse_60323,Myliusstrasse_60323.jpeg
25,1.8,5,Turiner_Strasse_60598,Turiner_Strasse_60598.jpeg
26,1.5,4,Maybachbruecke_60439,Maybachbruecke_60439.jpeg
27,2.4,10,In_den_Waldgaerten_60488,In_den_Waldgaerten_60488.jpeg
28,2.2,5,Rhoenstrasse_60316,Rhoenstrasse_60316.jpeg
29,2.4285714285714284,7,Ditmarstrasse_60487,Ditmarstrasse_60487.jpeg
30,2.0,3,Elsterstrasse_65933,Elsterstrasse_65933.jpeg
31,0.0,2,Gisèle-Freund-Platz_60323,Gisèle-Freund-Platz_60323.jpeg
32,2.25,4,Moerfelder_Landstrasse_60598,Moerfelder_Landstrasse_60598.jpeg
33,1.75,4,Oberwiesenstrasse_60435,Oberwiesenstrasse_60435.jpeg
34,2.75,8,Mauritiusstrasse_60529,Mauritiusstrasse_60529.jpeg
35,1.5,8,Am_Steinernen_Stock_60320,Am_Steinernen_Stock_60320.jpeg
36,2.7142857142857144,7,Rabenkopfweg_65931,Rabenkopfweg_65931.jpeg
37,1.6666666666666667,3,Blauenstrasse_60528,Blauenstrasse_60528.jpeg
38,1.3333333333333333,3,Schellingstrasse_60316,Schellingstrasse_60316.jpeg
39,1.75,4,Ohmstrasse_60486,Ohmstrasse_60486.jpeg
40,1.4,5,Donnersbergstrasse_60528,Donnersbergstrasse_60528.jpeg
41,2.3333333333333335,3,Kreutzerstrasse_60318,Kreutzerstrasse_60318.jpeg
42,1.2222222222222223,9,Rossittener_Strasse_60487,Rossittener_Strasse_60487.jpeg
43,2.0,5,Rostocker_Strasse_60323,Rostocker_Strasse_60323.jpeg
44,1.25,4,Legienstrasse_65929,Legienstrasse_65929.jpeg
45,1.4,5,In_der_Beginenklause_60599,In_der_Beginenklause_60599.jpeg
46,1.75,4,Guenthersburgallee_60389,Guenthersburgallee_60389.jpeg
47,1.25,4,Jugenheimer_Strasse_60528,Jugenheimer_Strasse_60528.jpeg
48,2.125,8,Anzengruberstrasse_60320,Anzengruberstrasse_60320.jpeg
49,2.0,5,Salmuensterer_Strasse_60386,Salmuensterer_Strasse_60386.jpeg
50,2.1666666666666665,6,Bachstelzenweg_65929,Bachstelzenweg_65929.jpeg
51,2.142857142857143,7,Neue_Schlesingergasse_60311,Neue_Schlesingergasse_60311.jpeg
52,2.0,7,Friedberger_Anlage_60314,Friedberger_Anlage_60314.jpeg
53,3.0,6,Sandaeckerstrasse_65933,Sandaeckerstrasse_65933.jpeg
54,1.1666666666666667,12,Rhonestrasse_60528,Rhonestrasse_60528.jpeg
55,1.0,3,Kleine_Nelkenstrasse_60488,Kleine_Nelkenstrasse_60488.jpeg
56,1.0,6,Chlodwig-Poth-Anlage_65936,Chlodwig-Poth-Anlage_65936.jpeg
57,2.4285714285714284,7,Kurmainzer_Strasse_65929,Kurmainzer_Strasse_65929.jpeg
58,1.875,8,Neue_Mainzer_Strasse_60313,Neue_Mainzer_Strasse_60313.jpeg
59,1.6666666666666667,3,Hermesweg_60316,Hermesweg_60316.jpeg
60,1.5,2,Hildburghaeuser_Weg_65931,Hildburghaeuser_Weg_65931.jpeg
61,1.3333333333333333,6,Zum_Eiskeller_60529,Zum_Eiskeller_60529.jpeg
62,2.6363636363636362,11,Hesselbergweg_65931,Hesselbergweg_65931.jpeg
63,1.4444444444444444,9,Preungesheimer_Strasse_60389,Preungesheimer_Strasse_60389.jpeg
64,2.7777777777777777,9,Mainzer_Landstrasse_60325,Mainzer_Landstrasse_60325.jpeg
65,2.4545454545454546,11,Heylstrasse_60431,Heylstrasse_60431.jpeg
66,2.0,2,Hugo-Wolf-Strasse_60529,Hugo-Wolf-Strasse_60529.jpeg
67,2.625,8,Krummauer_Strasse_60388,Krummauer_Strasse_60388.jpeg
68,2.4444444444444446,9,Walter-Kolb-Strasse_60594,Walter-Kolb-Strasse_60594.jpeg
69,2.6,5,Hostatostrasse_65929,Hostatostrasse_65929.jpeg
70,1.8,5,Stiftstrasse_60313,Stiftstrasse_60313.jpeg
