List-ID,image_score,n_ratings,Strassenname,Name
1,4.833333333333333,6,Germaniaplatz_60385,Germaniaplatz_60385.jpeg
2,5.0,4,Usinger_Strasse_60389,Usinger_Strasse_60389.jpeg
3,4.5,4,Langenselbolder_Strasse_60386,Langenselbolder_Strasse_60386.jpeg
4,4.875,8,Vogelstrasse_60528,Vogelstrasse_60528.jpeg
5,4.666666666666667,3,Bleichstrasse_60313,Bleichstrasse_60313.jpeg
6,5.0,5,Gutleuthofweg_60327,Gutleuthofweg_60327.jpeg
7,4.166666666666667,6,Breitenbachbruecke_60487,Breitenbachbruecke_60487.jpeg
8,4.625,8,Gelbehirschstrasse_60313,Gelbehirschstrasse_60313.jpeg
9,4.333333333333333,3,Salvador-Allende-Strasse_60487,Salvador-Allende-Strasse_60487.jpeg
10,4.8,5,Unter_den_Birken_60596,Unter_den_Birken_60596.jpeg
11,5.0,2,Melchiorstrasse_65929,Melchiorstrasse_65929.jpeg
12,4.888888888888889,9,An_den_Postwiesen_60488,An_den_Postwiesen_60488.jpeg
13,3.8,5,Kruppstrasse_60388,Kruppstrasse_60388.jpeg
14,4.75,4,Johanna-Spyri-Weg_60438,Johanna-Spyri-Weg_60438.jpeg
15,4.666666666666667,3,Apostelstrasse_60528,Apostelstrasse_60528.jpeg
16,5.0,1,Rheinstrasse_60325,Rheinstrasse_60325.jpeg
17,4.75,4,Heckerstrasse_60529,Heckerstrasse_60529.jpeg
18,5.0,3,Malssstrasse_60320,Malssstrasse_60320.jpeg
19,4.75,4,Plessengasse_60386,Plessengasse_60386.jpeg
20,4.666666666666667,3,Daeumling_65936,Daeumling_65936.jpeg
21,5.0,3,Josef-Fenzl-Strasse_65929,Josef-Fenzl-Strasse_65929.jpeg
22,5.0,2,Buchwaldstrasse_60385,Buchwaldstrasse_60385.jpeg
23,4.333333333333333,9,Dunantring_65936,Dunantring_65936.jpeg
24,3.5,4,Myliusstrasse_60323,Myliusstrasse_60323.jpeg
25,5.0,3,Turiner_Strasse_60598,Turiner_Strasse_60598.jpeg
26,3.75,4,Maybachbruecke_60439,Maybachbruecke_60439.jpeg
