List-ID,List-Nr,Name,empty0,empty1,empty2,empty3,Aufnahmebedingung
1,1,Germaniaplatz_60385.jpeg,,,,,4
2,2,Usinger Strasse_60389.jpeg,,,,,4
3,3,Langenselbolder Strasse_60386.jpeg,,,,,4
4,4,Vogelstrasse_60528.jpeg,,,,,4
5,5,Bleichstrasse_60313.jpeg,,,,,4
6,6,Gutleuthofweg_60327.jpeg,,,,,4
7,7,Breitenbachbruecke_60487.jpeg,,,,,4
8,8,Gelbehirschstrasse_60313.jpeg,,,,,4
9,9,Salvador-Allende-Strasse_60487.jpeg,,,,,4
10,10,Unter den Birken_60596.jpeg,,,,,4
11,11,Melchiorstrasse_65929.jpeg,,,,,4
12,12,An den Postwiesen_60488.jpeg,,,,,4
13,13,Kruppstrasse_60388.jpeg,,,,,4
14,14,Johanna-Spyri-Weg_60438.jpeg,,,,,4
15,15,Apostelstrasse_60528.jpeg,,,,,4
16,16,Rheinstrasse_60325.jpeg,,,,,4
17,17,Heckerstrasse_60529.jpeg,,,,,4
18,18,Malssstrasse_60320.jpeg,,,,,4
19,19,Plessengasse_60386.jpeg,,,,,4
20,20,Daeumling_65936.jpeg,,,,,4
21,21,Josef-Fenzl-Strasse_65929.jpeg,,,,,4
22,22,Buchwaldstrasse_60385.jpeg,,,,,4
23,23,Dunantring_65936.jpeg,,,,,4
24,24,Myliusstrasse_60323.jpeg,,,,,4
25,25,Turiner Strasse_60598.jpeg,,,,,4
26,26,Maybachbruecke_60439.jpeg,,,,,4
27,27,In den Waldgaerten_60488.jpeg,,,,,4
28,28,Rhoenstrasse_60316.jpeg,,,,,4
29,29,Ditmarstrasse_60487.jpeg,,,,,4
30,30,Elsterstrasse_65933.jpeg,,,,,4
31,31,Gisèle-Freund-Platz_60323.jpeg,,,,,4
32,32,Moerfelder Landstrasse_60598.jpeg,,,,,4
33,33,Oberwiesenstrasse_60435.jpeg,,,,,4
34,34,Mauritiusstrasse_60529.jpeg,,,,,4
35,35,Am Steinernen Stock_60320.jpeg,,,,,4
36,36,Rabenkopfweg_65931.jpeg,,,,,4
37,37,Blauenstrasse_60528.jpeg,,,,,4
38,38,Schellingstrasse_60316.jpeg,,,,,4
39,39,Ohmstrasse_60486.jpeg,,,,,4
40,40,Donnersbergstrasse_60528.jpeg,,,,,4
41,41,Rosa-Luxemburg-Strasse_60487.jpeg,,,,,4
42,42,Kreutzerstrasse_60318.jpeg,,,,,4
43,43,Rossittener Strasse_60487.jpeg,,,,,4
44,44,Rostocker Strasse_60323.jpeg,,,,,4
45,45,Legienstrasse_65929.jpeg,,,,,4
46,46,In der Beginenklause_60599.jpeg,,,,,4
47,47,Guenthersburgallee_60389.jpeg,,,,,4
48,48,Jugenheimer Strasse_60528.jpeg,,,,,4
49,49,Anzengruberstrasse_60320.jpeg,,,,,4
50,50,Salmuensterer Strasse_60386.jpeg,,,,,4
51,51,Bachstelzenweg_65929.jpeg,,,,,4
52,52,Neue Schlesingergasse_60311.jpeg,,,,,4
53,53,Friedberger Anlage_60314.jpeg,,,,,4
54,54,Sandaeckerstrasse_65933.jpeg,,,,,4
55,55,Rhonestrasse_60528.jpeg,,,,,4
56,56,Kleine Nelkenstrasse_60488.jpeg,,,,,4
57,57,Chlodwig-Poth-Anlage_65936.jpeg,,,,,4
58,58,Kurmainzer Strasse_65929.jpeg,,,,,4
59,59,Neue Mainzer Strasse_60313.jpeg,,,,,4
60,60,Hermesweg_60316.jpeg,,,,,4
61,61,Hildburghaeuser Weg_65931.jpeg,,,,,4
62,62,Zum Eiskeller_60529.jpeg,,,,,4
63,63,Hesselbergweg_65931.jpeg,,,,,4
64,64,Preungesheimer Strasse_60389.jpeg,,,,,4
65,65,Mainzer Landstrasse_60325.jpeg,,,,,4
66,66,Heylstrasse_60431.jpeg,,,,,4
67,67,Hugo-Wolf-Strasse_60529.jpeg,,,,,4
68,68,Krummauer Strasse_60388.jpeg,,,,,4
69,69,Walter-Kolb-Strasse_60594.jpeg,,,,,4
70,70,Hostatostrasse_65929.jpeg,,,,,4
71,71,Stiftstrasse_60313.jpeg,,,,,4
72,72,Selma-Lagerloef-Strasse_60431.jpeg,,,,,4
73,73,Bruderhofstrasse_60388.jpeg,,,,,4
74,74,Berner Strasse_60437.jpeg,,,,,4
75,75,August-Laubenheimer-Strasse_65929.jpeg,,,,,4
76,76,Neuhofstrasse_60318.jpeg,,,,,4
77,77,Launitzstrasse_60594.jpeg,,,,,4
78,78,Wallfahrtsweg_60389.jpeg,,,,,4
79,79,Neugasse_60437.jpeg,,,,,4
80,80,Dottenfeldstrasse_65936.jpeg,,,,,4
81,81,Rangenbergstrasse_60388.jpeg,,,,,4
82,82,Golub-Lebedenko-Platz_60326.jpeg,,,,,4
83,83,Schichaustrasse_60314.jpeg,,,,,4
84,84,Rotlintstrasse_60389.jpeg,,,,,4
85,85,Hanauer Landstrasse_60314.jpeg,,,,,4
86,86,Biebergasse_60313.jpeg,,,,,4
87,87,Jahnstrasse_60318.jpeg,,,,,4
88,88,Brueningstrasse_65929.jpeg,,,,,4
89,89,Roemerstadtsteg_60439.jpeg,,,,,4
90,90,Radilostrasse_60489.jpeg,,,,,4
91,91,Am Buchbaum_60437.jpeg,,,,,4
92,92,Am Riederbruch_60386.jpeg,,,,,4
93,93,Eysseneckstrasse_60322.jpeg,,,,,4
94,94,Erlenbacher Stadtweg_60437.jpeg,,,,,4
95,95,Tarnowitzer Strasse_65933.jpeg,,,,,4
96,96,Propst-Goebels-Weg_60389.jpeg,,,,,4
97,97,Wittelsbacherallee_60385.jpeg,,,,,4
98,98,Soemmerringstrasse_60322.jpeg,,,,,4
99,99,Ludwigstrasse_60327.jpeg,,,,,4
100,100,Hafentunnel_60329.jpeg,,,,,4
101,101,Schalkwiesenweg_60488.jpeg,,,,,4
102,102,Aussiger Strasse_60598.jpeg,,,,,4
103,103,Polizeimeister-Kaspar-Strasse_60320.jpeg,,,,,4
104,104,Schwarzwaldstrasse_60528.jpeg,,,,,4
105,105,Hoechster Schlossplatz_65929.jpeg,,,,,4
106,106,Am Lohwald_60488.jpeg,,,,,4
107,107,Osthafenbruecke_60314.jpeg,,,,,4
108,108,Am Honigberg_60435.jpeg,,,,,4
109,109,Jakob-Quirin-Weg_60437.jpeg,,,,,4
110,110,Wirschelweg_60437.jpeg,,,,,4
111,111,Georg-Voigt-Strasse_60325.jpeg,,,,,4
112,112,Licher Strasse_60389.jpeg,,,,,4
113,113,Herbert-Boehm-Strasse_60528.jpeg,,,,,4
114,114,Haendelstrasse_60318.jpeg,,,,,4
115,115,Corneliusstrasse_60325.jpeg,,,,,4
116,116,Moenchhofstrasse_60326.jpeg,,,,,4
117,117,Rotteckstrasse_60316.jpeg,,,,,4
118,118,Kamelienstrasse_65929.jpeg,,,,,4
119,119,Elsheimerstrasse_60322.jpeg,,,,,4
120,120,Amtsgasse_65929.jpeg,,,,,4
121,121,Beselerstrasse_60385.jpeg,,,,,4
122,122,Bornheimer Landwehr_60385.jpeg,,,,,4
123,123,Herbert-von-Meister-Strasse_65931.jpeg,,,,,4
124,124,Kaiserleibruecke_60314.jpeg,,,,,4
125,125,Martin-Luther-Strasse_60316.jpeg,,,,,4
126,126,Casparistrasse_60435.jpeg,,,,,4
127,127,Galvanistrasse_60486.jpeg,,,,,4
128,128,Westendstrasse_60325.jpeg,,,,,4
129,129,An der Pfaffenmauer_60388.jpeg,,,,,4
130,130,Melanchthonplatz_60599.jpeg,,,,,4
131,131,Einbaumstrasse_65933.jpeg,,,,,4
132,132,Herriotstrasse_60528.jpeg,,,,,4
133,133,Am Galgenberg_60389.jpeg,,,,,4
134,134,Bornweidstrasse_60388.jpeg,,,,,4
135,135,Platz der vergessenen Kinder_60596.jpeg,,,,,4
136,136,Carlo-Schmid-Platz_60325.jpeg,,,,,4
137,137,Liederbacher Strasse_65929.jpeg,,,,,4
138,138,Egestrasse_60488.jpeg,,,,,4
139,139,Franz-Simon-Strasse_65934.jpeg,,,,,4
140,140,Spitzenstrasse_60437.jpeg,,,,,4
141,141,Neuer Wall_60594.jpeg,,,,,4
142,142,Hammersbacher Weg_60388.jpeg,,,,,4
143,143,Blankenheimer Strasse_60529.jpeg,,,,,4
144,144,Am Martinszehnten_60437.jpeg,,,,,4
145,145,Azaleenweg_60433.jpeg,,,,,4
146,146,Hans-Thoma-Strasse_60596.jpeg,,,,,4
147,147,An der Wolfsweide_60435.jpeg,,,,,4
148,148,Hannah-Arendt-Strasse_60438.jpeg,,,,,4
149,149,Briandring_60598.jpeg,,,,,4
150,150,Alt-Roedelheim_60489.jpeg,,,,,4
151,151,Rauschenberger Strasse_60433.jpeg,,,,,4
152,152,Breslauer Strasse_60598.jpeg,,,,,4
153,153,Stralsunder Strasse_60323.jpeg,,,,,4
154,154,Pfungststrasse_60314.jpeg,,,,,4
155,155,Altkoenigstrasse_60323.jpeg,,,,,4
156,156,Quirinsstrasse_60599.jpeg,,,,,4
157,157,Justinianstrasse_60322.jpeg,,,,,4
158,158,Georg-Speyer-Strasse_60487.jpeg,,,,,4
159,159,Nachtigallenweg_65929.jpeg,,,,,4
160,160,Karl-Albert-Strasse_60385.jpeg,,,,,4
161,161,Am Muehlkanal_60599.jpeg,,,,,4
162,162,Amoeneburger Strasse_60433.jpeg,,,,,4
163,163,Humperdinckstrasse_60598.jpeg,,,,,4
164,164,Roedelheimer Strasse_60487.jpeg,,,,,4
165,165,Aystettstrasse_60322.jpeg,,,,,4
166,166,Am Wasserturm_60435.jpeg,,,,,4
