Straßennummer,Straßenname,Ortsbezirk,Stadtteil Name,Stadtbezirk,Stadtbezirksvorst,Schiedsleutebezirk,Sozialrathaus Name,Polizeirevier,Postleitzahl,Address,Latitude,Longitude,class,type
3083,Abflugring (Flughafen Ffm.),5,Flughafen,327,5.34,5A,Sachsenhausen,19.0,60549,Abflugring (Flughafen Ffm.)* 60549 Frankfurt,50.0522178,8.5789382,highway,way
1,Abtsgäßchen,5,Sachsenhausen-N.,300,5.31,5A,Sachsenhausen,8.0,60594,Abtsgäßchen 60594 Frankfurt,50.1044639,8.6888118,highway,way
2,Achenbachstraße,5,Sachsenhausen-N.,322,5.33,5A,Sachsenhausen,8.0,60596,Achenbachstraße 60596 Frankfurt,50.0974901,8.676911,highway,way
3,Ackermannstraße,1,Gallus,154,1.05,1,Gallus,16.0,60326,Ackermannstraße 60326 Frankfurt,50.1010322,8.6252843,highway,way
4,Adalbert-Stifter-Straße,9,Ginnheim,441,9.67,9,Nord,12.0,60431,Adalbert-Stifter-Straße 60431 Frankfurt,50.1450315,8.663405,highway,way
5,Adalbertstraße,2,Bockenheim,341,2.13,2,Bockenheim,13.0,60486,Adalbertstraße 60486 Frankfurt,50.1190712,8.6435076,highway,way
3229,Adam-Heinstadt-Straße,15,Nieder-Eschbach,670,15.82,15,Nord,14.0,60437,Adam-Heinstadt-Straße 60437 Frankfurt,50.2002416,8.6623236,highway,way
3075,Adam-Leis-Straße,8,Heddernheim,431,8.61,8,Nord,14.0,60439,Adam-Leis-Straße 60439 Frankfurt,50.1653278,8.6377026,highway,way
6,Adam-Opel-Straße,11,Fechenheim,510,11.77,11,Ost,18.0,60386,Adam-Opel-Straße 60386 Frankfurt,50.1244892,8.7573191,highway,way
3449,Adam-Riese-Platz,1,Gallus,152,1.06,1,Gallus,4.0,60327,Adam-Riese-Platz 60327 Frankfurt,50.1064355,8.655850304269492,highway,way
3448,Adam-Riese-Straße,1,Gallus,152,1.06,1,Gallus,4.0,60327,Adam-Riese-Straße 60327 Frankfurt,50.106167,8.6557504,highway,way
7,Adelheidstraße,9,Dornbusch,462,9.69,9,Dornbusch,12.0,60433,Adelheidstraße 60433 Frankfurt,50.1499647,8.6692121,highway,way
8,Adelonstraße,6,Höchst,570,6.44,6C,Höchst,17.0,65929,Adelonstraße 65929 Frankfurt,50.103446,8.5413172,highway,way
9,Adickesallee,3,Nordend-West,203,3.16,3,Dornbusch,3.0,60322,Adickesallee 60322 Frankfurt,50.1321466,8.679578,highway,way
9,Adickesallee,3,Nordend-West,202,3.16,3,Dornbusch,12.0,60320,Adickesallee 60320 Frankfurt,50.1321306,8.6724952,railway,node
10,Adlerflychtplatz,3,Nordend-West,201,3.21,3,Dornbusch,3.0,60318,Adlerflychtplatz 60318 Frankfurt,50.12427725,8.681756760648549,leisure,way
11,Adlerflychtstraße,3,Nordend-West,201,3.21,3,Dornbusch,3.0,60318,Adlerflychtstraße 60318 Frankfurt,50.1237894,8.683888,highway,way
3260,Adlhochplatz,5,Sachsenhausen-N.,324,5.32,5A,Sachsenhausen,8.0,60594,Adlhochplatz 60594 Frankfurt,50.101727249999996,8.686251696450514,highway,way
12,Adolf-Haeuser-Straße,6,Höchst,591,6.46,6C,Höchst,17.0,65929,Adolf-Haeuser-Straße 65929 Frankfurt,50.1020488,8.5425984,amenity,node
2963,Adolf-Leweke-Straße,10,Eckenheim,461,10.72,10,Dornbusch,12.0,60435,Adolf-Leweke-Straße 60435 Frankfurt,50.1531391,8.684761,highway,way
3660,Adolf-Meyer-Straße,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Adolf-Meyer-Straße 60438 Frankfurt,50.1783188,8.6207367,highway,way
13,Adolf-Miersch-Straße,5,Niederrad,372,5.36,5B,Sachsenhausen,10.0,60528,Adolf-Miersch-Straße 60528 Frankfurt,50.0831416,8.6432138,highway,way
14,Adolf-Reichwein-Straße,9,Dornbusch,462,9.69,9,Dornbusch,12.0,60320,Adolf-Reichwein-Straße 60320 Frankfurt,50.1438307,8.6739651,highway,way
15,Adolfstraße,5,Niederrad,372,5.36,5B,Sachsenhausen,10.0,60528,Adolfstraße 60528 Frankfurt,50.0837956,8.64647,highway,way
3197,Adolph-Prior-Straße,6,Sossenheim,632,6.54,6C,Höchst,17.0,65936,Adolph-Prior-Straße 65936 Frankfurt,50.129835,8.5815479,highway,way
16,Adolph-von-Holzhausen-Park,3,Nordend-West,203,3.16,3,Dornbusch,3.0,60322,Adolph-von-Holzhausen-Park 60322 Frankfurt,50.1262135,8.678283396307211,leisure,way
18,Affentorplatz,5,Sachsenhausen-N.,300,5.31,5A,Sachsenhausen,8.0,60594,Affentorplatz 60594 Frankfurt,50.104260350000004,8.689667027180581,leisure,way
19,Ahornstraße,6,Griesheim,552,6.41,6A,Gallus,16.0,65933,Ahornstraße 65933 Frankfurt,50.0977096,8.6029078,highway,way
17,Ährenstraße,1,Gutleutviertel,151,1.04,1,Gallus,4.0,60327,Ährenstraße 60327 Frankfurt,50.0956554,8.6412609,highway,way
20,Ahrtalstraße,6,Schwanheim,531,6.38,6A,Sachsenhausen,10.0,60529,Ahrtalstraße 60529 Frankfurt,50.0890212,8.5763673,highway,way
3016,Airportring,5,Flughafen,329,5.34,5A,Sachsenhausen,19.0,60549,Airportring 60549 Frankfurt,50.0403098,8.5327308,amenity,node
21,Akazienstraße,6,Griesheim,552,6.41,6A,Gallus,16.0,65933,Akazienstraße 65933 Frankfurt,50.0989199,8.6008373,highway,way
22,Albanusstraße,6,Höchst,591,6.46,6C,Höchst,17.0,65929,Albanusstraße 65929 Frankfurt,50.1016635,8.5459726,highway,way
23,Albert-Blank-Straße,6,Sindlingen,602,6.48,6B,Höchst,17.0,65931,Albert-Blank-Straße 65931 Frankfurt,50.0852316,8.5085414,highway,way
2752,Albert-Einstein-Straße,15,Nieder-Eschbach,670,15.82,15,Nord,14.0,60437,Albert-Einstein-Straße 60437 Frankfurt,50.2003437,8.6791637,highway,way
24,Albert-Linel-Straße,2,Bockenheim,163,2.15,2,Bockenheim,13.0,60486,Albert-Linel-Straße 60486 Frankfurt,50.1119357,8.6341981,highway,way
2736,Albert-Schweitzer-Straße,15,Nieder-Eschbach,670,15.82,15,Nord,14.0,60437,Albert-Schweitzer-Straße 60437 Frankfurt,50.1998457,8.6677202,highway,way
25,Albusstraße,1,Innenstadt,70,1.01,1,Ost,1.0,60313,Albusstraße 60313 Frankfurt,50.1142526,8.6882302,highway,way
26,Alemannenweg,6,Unterliederbach,622,6.52,6C,Höchst,17.0,65929,Alemannenweg 65929 Frankfurt,50.1143862,8.5396414,highway,way
