Straßennummer,Straßenname,Ortsbezirk,Stadtteil Name,Stadtbezirk,Stadtbezirksvorst,Schiedsleutebezirk,Sozialrathaus Name,Polizeirevier,Postleitzahl,Address,Latitude,Longitude,class,type,Strassenname,Strassenname_äöü,imagelink,survey
929,Germaniaplatz,4,Bornheim,240,4.23,4,Ost,6.0,60385,Germaniaplatz 60385 Frankfurt,50.1252,8.7012904,highway,way,Germaniaplatz,Germaniaplatz,Germaniaplatz_60385.jpeg,1
2403,Usinger Straße,4,Bornheim,271,4.23,4,Ost,6.0,60389,Usinger Straße 60389 Frankfurt,50.1303956,8.7061186,highway,way,Usinger_Strasse,Usinger Strasse,Usinger_Strasse_60389.jpeg,1
1541,Langenselbolder Straße,11,Fechenheim,510,11.77,11,Ost,18.0,60386,Langenselbolder Straße 60386 Frankfurt,50.1328462,8.7544365,highway,way,Langenselbolder_Strasse,Langenselbolder Strasse,Langenselbolder_Strasse_60386.jpeg,1
2414,Vogelstraße,5,Niederrad,372,5.36,5B,Sachsenhausen,10.0,60528,Vogelstraße 60528 Frankfurt,50.0779039,8.6508437,highway,way,Vogelstrasse,Vogelstrasse,Vogelstrasse_60528.jpeg,1
446,Bleichstraße,1,Innenstadt,60,1.02,1,Ost,1.0,60313,Bleichstraße 60313 Frankfurt,50.1173765,8.6814112,highway,way,Bleichstrasse,Bleichstrasse,Bleichstrasse_60313.jpeg,1
1030,Gutleuthofweg,1,Gutleutviertel,151,1.04,1,Gallus,4.0,60327,Gutleuthofweg 60327 Frankfurt,50.0956074,8.64499,highway,way,Gutleuthofweg,Gutleuthofweg,Gutleuthofweg_60327.jpeg,1
492,Breitenbachbrücke,7,Bockenheim,343,7.57,2,Bockenheim,11.0,60487,Breitenbachbrücke 60487 Frankfurt,50.1254398,8.633799,highway,way,Breitenbachbruecke,Breitenbachbruecke,Breitenbachbruecke_60487.jpeg,1
914,Gelbehirschstraße,1,Innenstadt,70,1.01,1,Ost,1.0,60313,Gelbehirschstraße 60313 Frankfurt,50.1152507,8.6875205,highway,way,Gelbehirschstrasse,Gelbehirschstrasse,Gelbehirschstrasse_60313.jpeg,1
3472,Salvador-Allende-Straße,2,Bockenheim,350,2.13,2,Bockenheim,13.0,60487,Salvador-Allende-Straße 60487 Frankfurt,50.1221553,8.6353689,highway,way,Salvador-Allende-Strasse,Salvador-Allende-Strasse,Salvador-Allende-Strasse_60487.jpeg,1
2385,Unter den Birken,5,Sachsenhausen-N.,322,5.33,5A,Sachsenhausen,8.0,60596,Unter den Birken 60596 Frankfurt,50.0907098,8.6712342,highway,way,Unter_den_Birken,Unter den Birken,Unter_den_Birken_60596.jpeg,1
1709,Melchiorstraße,6,Höchst,591,6.46,6C,Höchst,17.0,65929,Melchiorstraße 65929 Frankfurt,50.1001749,8.5460594,highway,way,Melchiorstrasse,Melchiorstrasse,Melchiorstrasse_65929.jpeg,1
220,An den Postwiesen,7,Hausen,410,7.58,7,Bockenheim,11.0,60488,An den Postwiesen 60488 Frankfurt,50.1394062,8.6216321,highway,way,An_den_Postwiesen,An den Postwiesen,An_den_Postwiesen_60488.jpeg,1
1511,Kruppstraße,11,Seckbach,390,11.75,11,Ost,18.0,60388,Kruppstraße 60388 Frankfurt,50.1418649,8.7423109,amenity,node,Kruppstrasse,Kruppstrasse,Kruppstrasse_60388.jpeg,1
3480,Johanna-Spyri-Weg,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Johanna-Spyri-Weg 60438 Frankfurt,50.1796281,8.6301968,highway,way,Johanna-Spyri-Weg,Johanna-Spyri-Weg,Johanna-Spyri-Weg_60438.jpeg,1
270,Apostelstraße,5,Niederrad,372,5.36,5B,Sachsenhausen,10.0,60528,Apostelstraße 60528 Frankfurt,50.0846067,8.6459768,amenity,node,Apostelstrasse,Apostelstrasse,Apostelstrasse_60528.jpeg,1
2003,Rheinstraße,2,Westend-Süd,100,2.11,2,Bockenheim,13.0,60325,Rheinstraße 60325 Frankfurt,50.1125721,8.6593828,amenity,node,Rheinstrasse,Rheinstrasse,Rheinstrasse_60325.jpeg,1
1100,Heckerstraße,6,Schwanheim,531,6.38,6A,Sachsenhausen,10.0,60529,Heckerstraße 60529 Frankfurt,50.0857665,8.5773119,highway,way,Heckerstrasse,Heckerstrasse,Heckerstrasse_60529.jpeg,1
1653,Malßstraße,9,Dornbusch,442,9.68,9,Dornbusch,12.0,60320,Malßstraße 60320 Frankfurt,50.1396413,8.6698408,highway,way,Malssstrasse,Malssstrasse,Malssstrasse_60320.jpeg,1
1935,Plessengasse,11,Fechenheim,510,11.77,11,Ost,18.0,60386,Plessengasse 60386 Frankfurt,50.1242144,8.7694198,highway,way,Plessengasse,Plessengasse,Plessengasse_60386.jpeg,1
611,Däumling,6,Sossenheim,631,6.53,6C,Höchst,17.0,65936,Däumling 65936 Frankfurt,50.1116007,8.5529265,highway,way,Daeumling,Daeumling,Daeumling_65936.jpeg,1
3288,Josef-Fenzl-Straße,6,Höchst,570,6.44,6C,Höchst,17.0,65929,Josef-Fenzl-Straße 65929 Frankfurt,50.1112253,8.5508476,highway,way,Josef-Fenzl-Strasse,Josef-Fenzl-Strasse,Josef-Fenzl-Strasse_65929.jpeg,1
526,Buchwaldstraße,4,Bornheim,290,4.22,4,Ost,6.0,60385,Buchwaldstraße 60385 Frankfurt,50.1300571,8.7167025,amenity,node,Buchwaldstrasse,Buchwaldstrasse,Buchwaldstrasse_60385.jpeg,1
678,Dunantring,6,Sossenheim,631,6.53,6C,Höchst,17.0,65936,Dunantring 65936 Frankfurt,50.1166589,8.5573718,highway,way,Dunantring,Dunantring,Dunantring_65936.jpeg,1
1762,Myliusstraße,2,Westend-Süd,180,2.1,2,Bockenheim,3.0,60323,Myliusstraße 60323 Frankfurt,50.1200399,8.6617731,highway,way,Myliusstrasse,Myliusstrasse,Myliusstrasse_60323.jpeg,1
2831,Turiner Straße,5,Sachsenhausen-S.,323,5.3,5A,Sachsenhausen,8.0,60598,Turiner Straße 60598 Frankfurt,50.0897661,8.6883857,highway,way,Turiner_Strasse,Turiner Strasse,Turiner_Strasse_60598.jpeg,1
2785,Maybachbrücke,8,Heddernheim,431,8.61,8,Nord,14.0,60439,Maybachbrücke 60439 Frankfurt,50.1602057,8.6514421,highway,way,Maybachbruecke,Maybachbruecke,Maybachbruecke_60439.jpeg,1
1293,In den Waldgärten,7,Hausen,410,7.58,7,Bockenheim,11.0,60488,In den Waldgärten 60488 Frankfurt,50.1359544,8.6222048,highway,way,In_den_Waldgaerten,In den Waldgaerten,In_den_Waldgaerten_60488.jpeg,1
2004,Rhönstraße,4,Ostend,251,4.25,4,Ost,5.0,60316,Rhönstraße 60316 Frankfurt,50.1168445,8.7075205,highway,way,Rhoenstrasse,Rhoenstrasse,Rhoenstrasse_60316.jpeg,1
648,Ditmarstraße,2,Bockenheim,362,2.12,2,Bockenheim,13.0,60487,Ditmarstraße 60487 Frankfurt,50.1278,8.6508305,highway,way,Ditmarstrasse,Ditmarstrasse,Ditmarstrasse_60487.jpeg,1
723,Elsterstraße,6,Griesheim,552,6.41,6A,Gallus,16.0,65933,Elsterstraße 65933 Frankfurt,50.1017536,8.5939401,highway,way,Elsterstrasse,Elsterstrasse,Elsterstrasse_65933.jpeg,1
3713,Gisèle-Freund-Platz,2,Westend-Nord,191,2.09,2,Dornbusch,3.0,60323,Gisèle-Freund-Platz 60323 Frankfurt,50.1268401,8.670769150369665,highway,way,Gisèle-Freund-Platz,Gisèle-Freund-Platz,Gisèle-Freund-Platz_60323.jpeg,1
1734,Mörfelder Landstraße,5,Sachsenhausen-S.,323,5.3,5A,Sachsenhausen,8.0,60598,Mörfelder Landstraße 60598 Frankfurt,50.0935047,8.6783642,highway,way,Moerfelder_Landstrasse,Moerfelder Landstrasse,Moerfelder_Landstrasse_60598.jpeg,1
1851,Oberwiesenstraße,10,Preungesheim,470,10.73,10,Dornbusch,12.0,60435,Oberwiesenstraße 60435 Frankfurt,50.157628,8.6900221,amenity,node,Oberwiesenstrasse,Oberwiesenstrasse,Oberwiesenstrasse_60435.jpeg,1
1690,Mauritiusstraße,6,Schwanheim,531,6.38,6A,Sachsenhausen,10.0,60529,Mauritiusstraße 60529 Frankfurt,50.0885318,8.5773209,amenity,node,Mauritiusstrasse,Mauritiusstrasse,Mauritiusstrasse_60529.jpeg,1
189,Am Steinernen Stock,9,Dornbusch,463,9.69,9,Dornbusch,12.0,60320,Am Steinernen Stock 60320 Frankfurt,50.1373178,8.6807674,highway,way,Am_Steinernen_Stock,Am Steinernen Stock,Am_Steinernen_Stock_60320.jpeg,1
1955,Rabenkopfweg,6,Zeilsheim,604,6.49,6B,Höchst,17.0,65931,Rabenkopfweg 65931 Frankfurt,50.097933,8.5105105,highway,way,Rabenkopfweg,Rabenkopfweg,Rabenkopfweg_65931.jpeg,1
443,Blauenstraße,5,Niederrad,371,5.35,5B,Sachsenhausen,10.0,60528,Blauenstraße 60528 Frankfurt,50.0870979,8.6420055,highway,way,Blauenstrasse,Blauenstrasse,Blauenstrasse_60528.jpeg,1
2117,Schellingstraße,3,Nordend-Ost,230,3.2,3,Ost,3.0,60316,Schellingstraße 60316 Frankfurt,50.1213997,8.6994818,highway,way,Schellingstrasse,Schellingstrasse,Schellingstrasse_60316.jpeg,1
1862,Ohmstraße,2,Bockenheim,342,2.14,2,Bockenheim,13.0,60486,Ohmstraße 60486 Frankfurt,50.1175564,8.6345551,highway,way,Ohmstrasse,Ohmstrasse,Ohmstrasse_60486.jpeg,1
656,Donnersbergstraße,5,Niederrad,371,5.35,5B,Sachsenhausen,10.0,60528,Donnersbergstraße 60528 Frankfurt,50.0877437,8.6353421,highway,way,Donnersbergstrasse,Donnersbergstrasse,Donnersbergstrasse_60528.jpeg,1
1497,Kreutzerstraße,3,Nordend-West,212,3.17,3,Ost,3.0,60318,Kreutzerstraße 60318 Frankfurt,50.1317973,8.6906909,highway,way,Kreutzerstrasse,Kreutzerstrasse,Kreutzerstrasse_60318.jpeg,1
2046,Rossittener Straße,7,Bockenheim,343,7.57,2,Bockenheim,11.0,60487,Rossittener Straße 60487 Frankfurt,50.1243983,8.6248528,highway,way,Rossittener_Strasse,Rossittener Strasse,Rossittener_Strasse_60487.jpeg,1
2049,Rostocker Straße,2,Westend-Nord,191,2.09,2,Dornbusch,3.0,60323,Rostocker Straße 60323 Frankfurt,50.1305682,8.6675465,highway,way,Rostocker_Strasse,Rostocker Strasse,Rostocker_Strasse_60323.jpeg,1
1554,Legienstraße,6,Unterliederbach,621,6.51,6C,Höchst,17.0,65929,Legienstraße 65929 Frankfurt,50.1105717,8.5356574,highway,way,Legienstrasse,Legienstrasse,Legienstrasse_65929.jpeg,1
1296,In der Beginenklause,5,Oberrad,380,5.28,5A,Sachsenhausen,8.0,60599,In der Beginenklause 60599 Frankfurt,50.099343,8.7270692,highway,way,In_der_Beginenklause,In der Beginenklause,In_der_Beginenklause_60599.jpeg,1
1017,Günthersburgallee,3,Nordend-Ost,222,3.18,3,Ost,6.0,60389,Günthersburgallee 60389 Frankfurt,50.1279971,8.69942797733454,leisure,way,Guenthersburgallee,Guenthersburgallee,Guenthersburgallee_60389.jpeg,1
1336,Jugenheimer Straße,5,Niederrad,372,5.36,5B,Sachsenhausen,10.0,60528,Jugenheimer Straße 60528 Frankfurt,50.083944,8.6408024,highway,way,Jugenheimer_Strasse,Jugenheimer Strasse,Jugenheimer_Strasse_60528.jpeg,1
268,Anzengruberstraße,9,Dornbusch,442,9.68,9,Dornbusch,12.0,60320,Anzengruberstraße 60320 Frankfurt,50.1414689,8.6669041,highway,way,Anzengruberstrasse,Anzengruberstrasse,Anzengruberstrasse_60320.jpeg,1
2085,Salmünsterer Straße,11,Fechenheim,510,11.77,11,Ost,18.0,60386,Salmünsterer Straße 60386 Frankfurt,50.1339111,8.7559582,highway,way,Salmuensterer_Strasse,Salmuensterer Strasse,Salmuensterer_Strasse_60386.jpeg,1
322,Bachstelzenweg,6,Unterliederbach,621,6.51,6C,Höchst,17.0,65929,Bachstelzenweg 65929 Frankfurt,50.1049265,8.5308885,highway,way,Bachstelzenweg,Bachstelzenweg,Bachstelzenweg_65929.jpeg,1
